datetime,station,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PI
2014-01-01,Aotizhongxin,48.6,169.2,27.4,69.5,1406.2,18.8,2.7,1009.0,-10.6,0.0,1.3,5.59
2014-01-02,Aotizhongxin,151.7,192.2,90.6,93.7,3437.5,1.2,2.1,1012.5,-6.5,0.0,1.0,13.66
2014-01-03,Aotizhongxin,50.5,114.7,33.9,48.1,1083.3,25.0,4.1,1016.6,-10.8,0.0,2.1,4.9
2014-01-04,Aotizhongxin,121.5,158.2,55.2,78.6,2304.2,1.1,-0.8,1016.7,-5.1,0.0,1.3,10.89
2014-01-05,Aotizhongxin,90.1,116.8,42.4,70.7,1850.0,11.2,0.5,1018.7,-8.7,0.0,1.7,8.18
2014-01-06,Aotizhongxin,125.2,131.9,60.2,67.1,2033.3,2.8,-0.9,1019.8,-4.1,0.0,1.6,11.01
2014-01-07,Aotizhongxin,105.0,99.1,44.9,61.1,1670.8,13.5,1.7,1021.3,-11.1,0.0,2.2,9.22
2014-01-08,Aotizhongxin,15.2,16.0,16.5,20.9,566.7,34.4,-1.9,1027.7,-19.9,0.0,2.7,1.53
2014-01-09,Aotizhongxin,36.0,42.9,24.4,39.5,804.2,23.2,-2.9,1025.6,-22.4,0.0,2.1,3.4
2014-01-10,Aotizhongxin,60.6,88.6,57.9,75.6,1641.7,3.1,-3.4,1024.7,-18.5,0.0,1.4,5.86
2014-01-11,Aotizhongxin,109.5,154.7,77.5,98.9,2700.0,1.5,-1.9,1024.5,-16.0,0.0,1.4,10.19
2014-01-12,Aotizhongxin,20.8,40.7,23.3,35.0,683.3,29.5,-0.9,1029.7,-19.2,0.0,2.0,2.19
2014-01-13,Aotizhongxin,79.2,109.1,73.3,81.7,1925.0,4.1,-3.9,1025.7,-15.6,0.0,1.0,7.5
2014-01-14,Aotizhongxin,87.9,104.1,82.3,81.1,2366.7,4.4,-3.1,1027.9,-13.8,0.0,1.3,8.21
2014-01-15,Aotizhongxin,153.0,183.8,88.6,97.0,2670.8,4.9,-2.4,1024.7,-12.5,0.0,0.9,13.72
2014-01-16,Aotizhongxin,358.0,397.0,134.1,134.0,4941.7,3.7,0.4,1022.0,-8.6,0.0,1.4,30.98
2014-01-17,Aotizhongxin,124.0,133.7,65.0,66.0,2179.2,13.6,-0.2,1025.2,-7.6,0.0,1.5,10.96
2014-01-18,Aotizhongxin,60.4,84.6,44.7,67.6,1416.7,10.9,-0.4,1026.6,-11.6,0.0,1.8,5.73
2014-01-19,Aotizhongxin,110.5,205.9,77.8,72.0,2604.2,14.1,0.5,1018.9,-9.9,0.0,2.9,10.29
2014-01-20,Aotizhongxin,9.2,38.3,8.5,7.3,442.4,50.5,-0.1,1024.2,-17.4,0.0,3.4,1.28
2014-01-21,Aotizhongxin,38.6,60.5,33.8,40.1,876.4,25.9,-1.7,1025.8,-17.3,0.0,1.5,3.71
2014-01-22,Aotizhongxin,120.4,144.8,80.3,94.4,2437.5,3.5,-1.6,1017.6,-14.8,0.0,1.1,10.97
